Thickness,Time,Outer_Temperature,Temp_Diff,dT_dt,Fourier_Number,Insulation_Efficiency
0.06,2398.4962406015,21.1690720255015,1.1690720255015,-0.0001642052550608,0.14805532349392,0.051322757444531
0.06,2406.01503759398,21.1680977655218,1.1680977655218,-0.0001295765773,0.148519446765061,0.0513655635435596
0.06,2413.53383458647,21.1674475226231,1.1674475226231,-8.64823055270685e-05,0.148983570036202,0.051394173046158
0.06,2421.05263157895,21.1669470193731,1.1669470193731,-6.65669322498455e-05,0.149447693307343,0.051416215992593
0.06,2428.57142857143,21.1667584085838,1.1667584085838,-2.50852349770949e-05,0.149911816578483,0.0514245276130707
0.06,2436.09022556391,21.1669332642733,1.1669332642733,2.32558067036274e-05,0.150375939849624,0.0514168220556851
0.06,2443.60902255639,21.1675142361966,1.1675142361966,7.72692657987172e-05,0.150840063120765,0.0513912363034317
0.06,2451.12781954887,21.1685439741089,1.1685439741089,0.000136955142336,0.151304186391906,0.0513459496000177
0.06,2458.64661654135,21.1698163915957,1.1698163915957,0.0001692315257443,0.151768309663046,0.0512901002508235
0.06,2466.16541353383,21.1713470724678,1.1713470724678,0.0002035805559894,0.152232432934187,0.0512230759014847
0.06,2473.68421052632,21.1732300457712,1.1732300457712,0.0002504354493517,0.152696556205328,0.0511408655244251
0.06,2481.2030075188,21.1754756856095,1.1754756856095,0.0002986700984939,0.153160679476469,0.0510431655325046
0.06,2488.72180451128,21.1780943660861,1.1780943660861,0.000348284503388,0.15362480274761,0.0509297062503862
0.06,2496.24060150376,21.181025400528,1.181025400528,0.0003898275807727,0.154088926018751,0.0508033103887316
0.06,2503.75939849624,21.1841624076193,1.1841624076193,0.000417221943143,0.154553049289891,0.0506687255176653
0.06,2511.27819548872,21.1875470712213,1.1875470712213,0.0004501602590659,0.155017172561032,0.0505243130601086
0.06,2518.7969924812,21.191159273378,1.191159273378,0.000480422886841,0.155481295832173,0.0503710975861746
0.06,2526.31578947368,21.1949701330613,1.1949701330613,0.0005068443378792,0.155945419103314,0.0502104599437065
0.06,2533.83458646617,21.1987410719015,1.1987410719015,0.0005015348657461,0.156409542374455,0.0500525104264802
0.06,2541.35338345865,21.2018704982396,1.2018704982396,0.0004162137029671,0.156873665645596,0.0499221838691298
0.06,2548.87218045113,21.2044326339642,1.2044326339642,0.0003407640513717,0.157337788916736,0.0498159866380567
0.06,2556.39097744361,21.2069927765624,1.2069927765624,0.0003404989655609,0.157801912187877,0.0497103223524536
0.06,2563.90977443609,21.2098820423862,1.2098820423862,0.0003842723545654,0.158266035459018,0.0495916113290387
0.06,2571.42857142857,21.2130871059455,1.2130871059455,0.0004262734533869,0.158730158730159,0.0494605867179134
0.06,2578.94736842105,21.2164688958161,1.2164688958161,0.0004497780527896,0.159194282001299,0.0493230860290492
0.06,2586.46616541353,21.219642660546,1.219642660546,0.0004221107090769,0.15965840527244,0.0491947370659695
0.06,2593.98496240602,21.2224375539943,1.2224375539943,0.0003717208286234,0.160122528543581,0.0490822617514905
0.06,2601.5037593985,21.2246867200459,1.2246867200459,0.0002991390848626,0.160586651814722,0.0489921210199383
0.06,2609.02255639098,21.2262981721381,1.2262981721381,0.0002143231282629,0.161050775085863,0.0489277415258538
0.06,2616.54135338346,21.2273245343654,1.2273245343654,0.0001365061762309,0.161514898357004,0.0488868252202125
0.06,2624.06015037594,21.2278032188256,1.2278032188256,6.36650332063511e-05,0.161979021628144,0.0488677656810432
0.06,2631.57894736842,21.22779502938,1.22779502938,-1.08919626454824e-06,0.162443144899285,0.0488680916311399
0.06,2639.0977443609,21.2274042350855,1.2274042350855,-5.1975641168487e-05,0.162907268170426,0.048883650785041
0.06,2646.61654135338,21.2266301861285,1.2266301861285,-0.0001029485112812,0.163371391441567,0.0489144981743622
0.06,2654.13533834586,21.2255173581237,1.2255173581237,-0.0001480061246384,0.163835514712707,0.0489589148634024
0.06,2661.65413533835,21.2241102266856,1.2241102266856,-0.000187148481267,0.164299637983849,0.0490151938052637
0.06,2669.17293233083,21.2225002210514,1.2225002210514,-0.0002141307493484,0.16476376125499,0.0490797457266695
0.06,2676.69172932331,21.2208053716023,1.2208053716023,-0.0002254149767305,0.16522788452613,0.0491478833528152
0.06,2684.21052631579,21.219034235032,1.219034235032,-0.0002355611638496,0.165692007797271,0.0492192903822959
0.06,2691.72932330827,21.2172451235681,1.2172451235681,-0.0002379518246987,0.166156131068412,0.0492916330805437
0.06,2699.24812030075,21.215496349438,1.215496349438,-0.0002325869593037,0.166620254339552,0.049362550556192
0.06,2706.76691729323,21.2138720335878,1.2138720335878,-0.0002160340080762,0.167084377610693,0.0494286039547843
0.06,2714.28571428571,21.2124348605427,1.2124348605427,-0.0001911440149984,0.167548500881834,0.0494871946960872
0.06,2721.8045112782,21.2112389792295,1.2112389792295,-0.0001590522146555,0.168012624152975,0.0495360544276469
0.06,2729.32330827068,21.2103467637078,1.2103467637078,-0.0001186646643859,0.168476747424116,0.0495725702741542
0.06,2736.84210526316,21.2098205880367,1.2098205880367,-6.99813642565065e-05,0.168940870695257,0.0495941303969444
0.06,2744.36090225564,21.2095145822352,1.2095145822352,-4.06987715992521e-05,0.169404993966398,0.0496066776550301
