Thickness,Fourier_Number,Temp_Diff,Insulation_Efficiency
0.01,2.5062656641604,3.6659220776964,0.0027278266662677
0.01,2.52297410192147,3.7139142074267,0.0026925770067609
0.01,2.53968253968253,3.7529478572475,0.002664572059185
0.01,2.5563909774436,3.782238934227,0.0026439366137094
0.01,2.57309941520469,3.8007154598711,0.0026310835698127
0.01,2.58980785296576,3.8076392084866,0.0026262992506516
0.01,2.60651629072682,3.8037007043507,0.00262901862614
0.01,2.62322472848789,3.7876568937058,0.0026401546604228
0.01,2.63993316624896,3.7589341302712,0.0026603286073753
0.01,2.65664160401002,3.718190004704,0.0026894806309921
0.01,2.67335004177109,3.6664368735938,0.0027274436584525
0.01,2.69005847953216,3.6020263670671,0.0027762151025402
0.01,2.87385129490393,2.4223769724123,0.0041281766272908
0.01,2.890559732665,2.4095672620985,0.0041501227864836
0.01,2.90726817042607,2.4146015861961,0.0041414699870854
0.01,2.92397660818713,2.4377287393864,0.0041021791466909
0.01,2.9406850459482,2.4755984178262,0.0040394273675376
0.01,2.95739348370927,2.5259514209603,0.0039589043229494
0.01,2.97410192147033,2.5874634828931,0.0038647888428627
0.01,2.99081035923142,2.6574922172171,0.0037629461095739
0.01,3.00751879699249,2.7316152824154,0.0036608376239415
0.01,3.15789473684211,3.482078255283,0.0028718481512665
0.01,3.17460317460318,3.5503345671023,0.0028166359566957
0.01,3.19131161236424,3.6135728253533,0.0027673442554799
0.01,3.20802005012531,3.6690961651518,0.002725466858835
0.01,3.22472848788638,3.7159099058863,0.0026911309082492
0.01,3.24143692564744,3.7533730445225,0.0026642702127872
0.01,3.25814536340851,3.7805246293694,0.0026451355249252
0.01,3.2748538011696,3.7964601458235,0.0026340326556571
0.01,3.29156223893067,3.8027447914192,0.0026296794942865
0.01,3.30827067669173,3.7973143092492,0.0026334401594418
0.01,3.3249791144528,3.7794615591397,0.0026458795369455
0.01,3.34168755221387,3.7484794009169,0.0026677484202137
